id,tipo_area,dettaglio,ora_inizio,ora_fine,disposizio,posti,municipio,longitudine,latitudine
6452,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1836719,45.4521224
6462,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.1700826,45.4567658
6470,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.2018292,45.4495091
6492,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1992366,45.4494814
6517,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2133897,45.4691309
6529,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2140349,45.469294
6556,carico scarico merci,merci,08:00:00,20:00:00,linea,3,3,9.2130132,45.4707222
6565,carico scarico merci,,08:00:00,20:00:00,linea,1,4,9.206871,45.453755
6576,carico scarico merci,merci,08:00:00,20:00:00,linea,3,5,9.1974251,45.4508789
6579,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2082103,45.4537063
6589,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1995983,45.4508737
6593,carico scarico merci,,08:00:00,20:00:00,linea,2,4,9.2048589,45.4549293
6596,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.2002446,45.4509829
6602,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2155852,45.4692318
6609,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.2021716,45.4509836
